id,code,icao,name,latitude,longitude,elevation,url,time_zone,city_code,country,city,state,county,type
18692,YBV,CYBV,Berens River Airport,52.3599899,-97.02418005,708,,America/Winnipeg,YBV,CA,Berens River,,,AP
18693,YBW,CAB3,Bedwell Harbour Seaplane Base,48.75,-123.23333,"0",,America/Vancouver,YBW,CA,,,,AP
18694,YBX,CYBX,Lourdes-de-Blanc-Sablon Airport,51.441967250000005,-57.186869516831315,91,,America/Blanc-Sablon,YBX,CA,Lourdes-De-Blanc-Sablon,,,AP
18695,YBY,CYBF,Bonnyville Airport,54.30508195,-110.74275356469474,1837,http://town.bonnyville.ab.ca/livingin/airport/index.html,America/Edmonton,YBY,CA,Bonnyville,Alberta,,AP
18696,YCA,CAH3,Courtenay Airpark,49.683334,-124.98333,19,,America/Vancouver,YCA,CA,Courtenay,,,AP
18697,YCB,CYCB,Cambridge Bay Airport,69.1080144,-105.13765258864144,42,,America/Cambridge_Bay,YCB,CA,Cambridge Bay,,,AP
18698,YCC,CYCC,Cornwall Regional Airport,45.1,-74.566666,183,,America/Toronto,YCC,CA,Cornwall,Ontario,,AP
18699,YCD,CYCD,Nanaimo Airport,49.05294715,-123.87077170725448,68,,America/Vancouver,YCD,CA,Nanaimo,,,AP
18700,YCE,CYCE,Centralia / James T. Field Memorial Aerodrome,43.283333,-81.48333,839,,America/Toronto,YCE,CA,Centralia,Ontario,,AP
18701,YCF,,Cortes Bay Water Aerodrome,50.0619618,-124.9307509,"0",,America/Vancouver,YCF,CA,,,,AP
18702,YCG,CYCG,Castlegar/West Kootenay Regional Airport,49.2957603,-117.6330645059673,1617,,America/Vancouver,YCG,CA,Castlegar,British Columbia,,AP
18703,YCH,CYCH,Miramichi Airport,47.0078011,-65.4492035,85,,America/Moncton,YCH,CA,Miramichi,New Brunswick,Northumberland County,AP
18704,YCI,,Caribou Island,61.916668,-113.25,505,,America/Toronto,YCI,CA,,,,AP
